# Bump coordinates file
# Format: x_center, y_center (in mm)
# Each coordinate is the CENTER of a rectangular bump
# Bump size is defined in config.py (width_x, width_y)
# Coordinates must be within chip area: x=[1.0, 9.0], y=[1.0, 9.0]
#
# Grid pattern 1: Regular 4x4 grid in bottom-left quadrant
1.5, 1.5
1.5, 2.5
1.5, 3.5
1.5, 4.5
2.5, 1.5
2.5, 2.5
2.5, 3.5
2.5, 4.5
3.5, 1.5
3.5, 2.5
3.5, 3.5
3.5, 4.5
4.5, 1.5
4.5, 2.5
4.5, 3.5
4.5, 4.5
# Grid pattern 2: Denser 3x3 grid in top-right area
6.0, 6.0
6.0, 6.5
6.0, 7.0
6.5, 6.0
6.5, 6.5
6.5, 7.0
7.0, 6.0
7.0, 6.5
7.0, 7.0
# Scattered bumps (irregular positions)
2.3, 7.1
3.1, 6.5
4.2, 7.3
5.5, 1.8
6.8, 2.2
7.2, 3.5
7.5, 4.8
8.0, 5.5
5.0, 5.0
4.0, 6.0
3.5, 5.5
